transaction_id,customer_id,transaction_date,transaction_time,amount,transaction_type,merchant,status,device_type,location
T00001,C0013,2024-03-05,12:20:18,57034.25,debit,Ajio,success,web,Kolkata
T00002,C0070,2024-04-26,01:18:35,17760.98,credit,BigBasket,success,mobile,Hyderabad
T00003,C0017,2024-01-07,20:05:16,66663.62,credit,Swiggy,success,web,Mumbai
T00004,C0065,2024-02-08,12:58:05,170286.81,debit,Zomato,success,tablet,Delhi
T00005,C0011,2024-04-04,02:09:45,190890.05,debit,Myntra,success,tablet,Chennai
T00006,C0097,2024-03-08,13:15:01,808.91,debit,Amazon,success,mobile,Chennai
T00007,C0079,2024-04-10,08:48:15,102616.57,debit,Ajio,success,mobile,Chennai
T00008,C0076,2024-04-27,01:30:31,134097.97,debit,Zomato,success,tablet,Jaipur
T00009,C0010,2024-01-10,10:19:51,169370.91,credit,Zomato,success,tablet,Mumbai
T00010,C0074,2024-04-29,03:48:52,194604.92,credit,Apple,success,web,Chennai
T00011,C0099,2024-03-19,22:06:18,108799.2,credit,Apple,success,tablet,Hyderabad
T00012,C0095,2024-01-24,06:18:50,75950.55,credit,Apple,failed,tablet,Chennai
T00013,C0029,2024-04-25,18:00:43,64921.18,credit,BigBasket,success,mobile,Mumbai
T00014,C0023,2024-04-12,08:32:28,29963.19,credit,Myntra,success,mobile,Bangalore
T00015,C0069,2024-01-14,23:39:33,26999.69,debit,Swiggy,success,mobile,Bangalore
T00016,C0060,2024-02-01,12:20:48,59273.89,credit,Apple,success,tablet,Bangalore
T00017,C0091,2024-02-05,01:53:23,4770.55,debit,Ajio,success,web,Delhi
T00018,C0054,2024-04-07,11:59:43,11490.54,debit,Myntra,success,mobile,Jaipur
T00019,C0014,2024-02-27,06:55:58,147649.76,debit,Flipkart,success,web,Bangalore
T00020,C0063,2024-04-03,11:06:13,7624.68,credit,Ajio,success,tablet,Jaipur
T00021,C0076,2024-01-07,03:40:28,171225.05,credit,Flipkart,success,web,Mumbai
T00022,C0086,2024-04-25,09:02:02,163310.61,debit,Reliance Digital,success,tablet,Bangalore
T00023,C0040,2024-01-13,08:38:33,19950.04,debit,Myntra,success,mobile,Mumbai
T00024,C0054,2024-04-30,03:44:39,131038.01,debit,Apple,success,web,Pune
T00025,C0070,2024-03-04,18:19:06,60153.15,debit,Apple,success,web,Bangalore
T00026,C0070,2024-04-11,20:05:31,120780.99,credit,Flipkart,success,mobile,Kolkata
T00027,C0071,2024-01-15,22:02:54,88599.75,debit,Amazon,failed,tablet,Pune
T00028,C0001,2024-02-20,05:00:17,136471.94,debit,Swiggy,success,web,Chennai
T00029,C0055,2024-03-04,18:25:59,123110.54,debit,Flipkart,success,tablet,Hyderabad
T00030,C0004,2024-03-15,08:55:45,157006.32,credit,Amazon,success,tablet,Delhi
T00031,C0084,2024-01-14,05:42:01,83414.24,credit,Myntra,success,mobile,Bangalore
T00032,C0063,2024-03-22,02:11:02,3727.45,debit,Reliance Digital,success,web,Mumbai
T00033,C0081,2024-01-27,09:08:55,67092.21,debit,Reliance Digital,success,tablet,Kolkata
T00034,C0039,2024-03-06,16:36:44,130948.65,credit,Zomato,success,web,Hyderabad
T00035,C0037,2024-01-13,00:21:24,59741.8,debit,Amazon,success,tablet,Kolkata
T00036,C0051,2024-02-12,00:01:54,159951.23,debit,Swiggy,success,tablet,Mumbai
T00037,C0081,2024-03-13,17:42:46,85339.51,debit,Amazon,success,tablet,Delhi
T00038,C0007,2024-02-22,02:18:57,129779.28,debit,Amazon,failed,mobile,Delhi
T00039,C0008,2024-04-25,17:19:18,176750.46,credit,Swiggy,success,tablet,Pune
T00040,C0048,2024-01-06,18:01:22,18623.13,debit,Ajio,success,mobile,Mumbai
T00041,C0083,2024-02-17,21:30:15,111898.33,debit,Flipkart,success,mobile,Kolkata
T00042,C0092,2024-01-20,22:16:59,52305.37,credit,Zomato,success,tablet,Bangalore
T00043,C0049,2024-04-12,22:32:49,152585.9,debit,Flipkart,failed,mobile,Mumbai
T00044,C0042,2024-03-27,16:42:34,61951.52,debit,Apple,success,mobile,Kolkata
T00045,C0025,2024-03-26,04:36:43,67106.84,credit,BigBasket,failed,mobile,Kolkata
T00046,C0092,2024-03-21,07:28:45,127949.26,credit,Uber,failed,mobile,Delhi
T00047,C0081,2024-01-01,06:02:15,68220.53,credit,BigBasket,failed,mobile,Chennai
T00048,C0028,2024-04-03,05:45:12,197120.61,credit,Zomato,success,tablet,Jaipur
T00049,C0006,2024-04-08,02:14:05,11579.71,debit,Ajio,success,tablet,Delhi
T00050,C0078,2024-03-17,06:49:25,160450.46,credit,Ajio,success,tablet,Chennai
T00051,C0061,2024-02-17,14:54:45,76152.89,debit,Amazon,failed,mobile,Bangalore
T00052,C0031,2024-04-20,21:56:08,183726.04,debit,Ajio,success,mobile,Delhi
T00053,C0057,2024-03-27,09:33:17,180277.29,credit,BigBasket,success,web,Chennai
T00054,C0005,2024-02-16,23:45:26,78964.28,credit,Uber,success,tablet,Chennai
T00055,C0015,2024-01-12,07:45:05,190582.71,debit,Apple,success,mobile,Chennai
T00056,C0099,2024-03-25,21:59:53,1958.78,credit,BigBasket,success,mobile,Pune
T00057,C0051,2024-02-11,11:59:31,89910.0,debit,Amazon,success,tablet,Mumbai
T00058,C0029,2024-04-29,06:15:04,59127.72,credit,Apple,success,web,Bangalore
T00059,C0089,2024-02-04,17:01:26,18615.04,debit,Ajio,success,tablet,Hyderabad
T00060,C0082,2024-01-29,17:57:24,83843.52,debit,Amazon,success,tablet,Jaipur
T00061,C0064,2024-02-01,13:47:13,11753.67,credit,Apple,success,tablet,Jaipur
T00062,C0012,2024-03-29,06:57:19,191428.08,credit,Zomato,success,tablet,Mumbai
T00063,C0023,2024-04-22,00:31:04,35512.84,credit,Swiggy,success,web,Bangalore
T00064,C0013,2024-03-19,21:03:05,166742.88,credit,Myntra,success,tablet,Pune
T00065,C0010,2024-02-17,11:00:31,65212.41,credit,Zomato,success,mobile,Chennai
T00066,C0007,2024-02-18,03:47:02,33901.71,credit,Swiggy,success,web,Delhi
T00067,C0027,2024-01-10,06:04:50,39306.67,credit,Flipkart,failed,tablet,Delhi
T00068,C0055,2024-02-15,09:53:40,148824.97,credit,Swiggy,success,tablet,Chennai
T00069,C0008,2024-04-04,08:14:13,50398.02,debit,Flipkart,success,tablet,Mumbai
T00070,C0095,2024-02-10,10:37:19,179858.73,credit,Amazon,success,web,Pune
T00071,C0067,2024-02-17,01:56:08,61515.37,debit,Flipkart,success,mobile,Chennai
T00072,C0035,2024-01-28,06:03:52,77147.08,credit,Swiggy,success,web,Mumbai
T00073,C0085,2024-03-26,19:42:42,129125.67,debit,Myntra,success,web,Delhi
T00074,C0065,2024-04-20,22:22:53,66816.7,debit,Uber,success,web,Chennai
T00075,C0005,2024-03-05,23:17:03,87499.56,debit,Amazon,success,tablet,Delhi
T00076,C0086,2024-01-25,13:39:39,49495.52,credit,Amazon,success,tablet,Chennai
T00077,C0096,2024-01-17,19:14:19,160409.0,credit,Apple,success,web,Jaipur
T00078,C0041,2024-03-02,16:11:43,112674.57,debit,Apple,success,mobile,Pune
T00079,C0051,2024-04-12,22:59:46,196793.45,credit,Zomato,success,mobile,Pune
T00080,C0043,2024-02-10,22:42:38,39621.62,debit,Reliance Digital,success,web,Kolkata
T00081,C0092,2024-02-22,17:23:13,123088.5,credit,Myntra,success,mobile,Pune
T00082,C0052,2024-03-03,07:11:04,73284.02,credit,Zomato,success,tablet,Hyderabad
T00083,C0085,2024-01-22,10:23:49,45568.59,debit,Uber,success,mobile,Mumbai
T00084,C0070,2024-03-10,07:25:43,40440.32,debit,Zomato,success,tablet,Chennai
T00085,C0019,2024-03-14,10:06:48,179829.02,credit,Reliance Digital,success,mobile,Mumbai
T00086,C0002,2024-01-03,04:07:55,98969.68,debit,BigBasket,success,mobile,Jaipur
T00087,C0041,2024-04-09,01:03:19,120798.46,debit,Swiggy,success,mobile,Pune
T00088,C0088,2024-01-29,03:39:05,123307.95,debit,Flipkart,success,web,Kolkata
T00089,C0071,2024-04-20,12:14:17,54089.7,credit,Reliance Digital,success,mobile,Delhi
T00090,C0096,2024-02-29,00:12:34,46240.48,debit,Uber,success,web,Chennai
T00091,C0051,2024-01-15,04:11:36,157472.79,credit,Zomato,success,web,Hyderabad
T00092,C0045,2024-03-13,08:22:03,86739.18,credit,Amazon,success,mobile,Pune
T00093,C0039,2024-04-07,04:10:42,138646.01,credit,Amazon,success,mobile,Hyderabad
T00094,C0079,2024-04-23,10:02:47,64821.75,debit,Swiggy,success,tablet,Mumbai
T00095,C0089,2024-04-01,19:25:12,97700.22,credit,Apple,success,web,Jaipur
T00096,C0042,2024-04-26,12:15:52,142019.7,debit,Myntra,failed,mobile,Mumbai
T00097,C0025,2024-03-12,09:28:44,72920.34,debit,Swiggy,success,tablet,Mumbai
T00098,C0006,2024-02-14,07:33:43,157736.82,debit,Uber,success,mobile,Hyderabad
